N,run,C,k
10,1,1.4161930107742347,20
10,2,1.4220862226692765,20
10,3,1.4189802252246655,20
10,4,1.426922676644983,20
10,5,1.4268305766026201,20
10,6,1.4331858659244296,20
10,7,1.4227142908294443,20
10,8,1.4200829300711453,20
10,9,1.421527164748967,20
10,10,1.4326881120400388,20
10,11,1.4212459858711293,20
10,12,1.4126056234643578,20
10,13,1.4333139455366777,20
10,14,1.4213213983437287,20
10,15,1.4321695535495143,20
10,16,1.428516052311816,20
10,17,1.4333702836079893,20
10,18,1.421845705092118,20
10,19,1.4279769220793919,20
10,20,1.40224938811111,20
10,21,1.421414982716649,20
10,22,1.4188214516068214,20
10,23,1.419482533724848,20
10,24,1.4197172516742027,20
10,25,1.4231790843841814,20
10,26,1.4092522981716233,20
10,27,1.4265981364019011,20
10,28,1.43478159685051,20
10,29,1.4127327674034182,20
10,30,1.421846657332616,20
10,31,1.413081388839206,20
10,32,1.4063200978399035,20
10,33,1.4217846536385403,20
10,34,1.4089445204078561,20
10,35,1.4127108831240738,20
10,36,1.4274811751210956,20
10,37,1.4225166095965451,20
10,38,1.412350239220539,20
10,39,1.4201512944017756,20
10,40,1.4205880215713695,20
10,41,1.4098495961538595,20
10,42,1.4136102151130443,20
10,43,1.4223717774719178,20
10,44,1.432721076422445,20
10,45,1.407737652943464,20
10,46,1.4287788747105772,20
10,47,1.415014748507891,20
10,48,1.4067847917499043,20
10,49,1.4252462407685644,20
10,50,1.4241108383876369,20
10,51,1.4180726362199012,20
10,52,1.4209101759690566,20
10,53,1.4207404453623502,20
10,54,1.4305929821414096,20
10,55,1.419025595468188,20
10,56,1.424060438791066,20
10,57,1.418249365367189,20
10,58,1.4228103158582692,20
10,59,1.431091522954271,20
10,60,1.4232889486516058,20
10,61,1.4223817721659249,20
10,62,1.4139913665900028,20
10,63,1.4210853782949222,20
10,64,1.4149065277107782,20
10,65,1.426937777128206,20
10,66,1.417985733948679,20
10,67,1.4257244378180096,20
10,68,1.4185702216739335,20
10,69,1.4248616433331847,20
10,70,1.4247906611439227,20
10,71,1.4106321917250964,20
10,72,1.4257762178804572,20
10,73,1.427085593683108,20
10,74,1.4143588577433865,20
10,75,1.4139551808573152,20
10,76,1.4097334751201016,20
10,77,1.413551987549602,20
10,78,1.4053883439669728,20
10,79,1.414871291631502,20
10,80,1.413988961773262,20
10,81,1.4080164765396799,20
10,82,1.4050810490666008,20
10,83,1.4156297453531208,20
10,84,1.417780217510774,20
10,85,1.416137921129717,20
10,86,1.4094312614535516,20
10,87,1.4251400932062248,20
10,88,1.4287329312215524,20
10,89,1.4197690048997156,20
10,90,1.4327081575568683,20
10,91,1.4326645611223519,20
10,92,1.4209856286082796,20
10,93,1.4283114486572168,20
10,94,1.4172524504695836,20
10,95,1.4134016847890303,20
