N,C,k,run
25,1.4385564234939014,8,1
50,1.4393821553083044,8,1
75,1.438603898415733,8,1
25,1.4345788874839687,8,2
50,1.4373217989100853,8,2
75,1.438077856718524,8,2
25,1.4338350824661765,8,3
50,1.438432260550597,8,3
75,1.4374373488388081,8,3
25,1.431763617561767,8,4
50,1.4392258767579065,8,4
75,1.4377306608868547,8,4
25,1.4382828816144604,8,5
50,1.4379588294578423,8,5
75,1.4381360339005156,8,5
25,1.4397315132731063,8,1
50,1.438994806408338,8,1
75,1.4400089068558697,8,1
100,1.4382414484950252,8,1
125,1.43728689843079,8,1
150,1.4386304321829078,8,1
175,1.4395209538025528,8,1
200,1.4389433141801544,8,1
225,1.440164526240547,8,1
250,1.4399575849332364,8,1
275,1.4396855575202427,8,1
300,1.4398163659203285,8,1
25,1.4367470619016582,8,2
50,1.4404974502289392,8,2
75,1.4393772146623682,8,2
100,1.438357757704386,8,2
125,1.4387627954494087,8,2
150,1.4391929766585618,8,2
175,1.4392832890962826,8,2
200,1.439446614634342,8,2
225,1.4390853126026408,8,2
250,1.4393032566659256,8,2
275,1.4398386493514483,8,2
300,1.4400369490223495,8,2
25,1.4361482866858468,8,3
50,1.43676911931377,8,3
75,1.4374214462686292,8,3
100,1.4382303981282707,8,3
125,1.439222462107132,8,3
150,1.4403694030208256,8,3
175,1.439067535517676,8,3
200,1.4396857412160726,8,3
225,1.4397772487806761,8,3
250,1.43976326344945,8,3
275,1.440105027544002,8,3
300,1.440086991295544,8,3
25,1.4346822849838106,8,4
50,1.4384710661244318,8,4
75,1.4386350899529907,8,4
100,1.439820030153528,8,4
125,1.439658572542725,8,4
150,1.4396990045885203,8,4
175,1.440257403768102,8,4
200,1.4388658922577622,8,4
225,1.4398910939448835,8,4
250,1.4395842841064344,8,4
275,1.4404843908903937,8,4
300,1.4400276944309278,8,4
25,1.4336113665679644,8,5
50,1.4359846492833979,8,5
75,1.4377251318268738,8,5
100,1.4370732317905952,8,5
125,1.438078321900403,8,5
150,1.4390826884868535,8,5
175,1.4398161646920355,8,5
200,1.4395318324556932,8,5
225,1.4394382334236757,8,5
250,1.4395051323232253,8,5
275,1.4400024586526827,8,5
300,1.439578568319697,8,5
25,1.4382013653551895,8,6
50,1.4358801734262803,8,6
75,1.4386271850116077,8,6
100,1.438689851933295,8,6
125,1.4374744661902037,8,6
150,1.4388797783408493,8,6
175,1.4396087814048577,8,6
200,1.4389275710962888,8,6
225,1.439882653911286,8,6
250,1.4403226066474517,8,6
275,1.4400701679983783,8,6
300,1.439884749115732,8,6
25,1.4336463329930023,8,7
50,1.4387838703801232,8,7
75,1.438859098418612,8,7
100,1.4384738307886695,8,7
125,1.4399277456038175,8,7
150,1.437996940481711,8,7
175,1.439679986729788,8,7
200,1.4399260757946992,8,7
225,1.4393967459051917,8,7
250,1.4400848098862384,8,7
275,1.4405204523344628,8,7
300,1.4397738411681957,8,7
25,1.4362317201604675,8,8
50,1.4353420554563454,8,8
75,1.4375344780561805,8,8
100,1.4395235679136222,8,8
125,1.4385393446760424,8,8
150,1.4400549672273406,8,8
175,1.4398054464482215,8,8
200,1.4399779180705516,8,8
225,1.4397342031938778,8,8
250,1.4395624616633278,8,8
275,1.4399752096963847,8,8
300,1.4398046544731002,8,8
25,1.4421829045336703,8,9
50,1.4421886881448829,8,9
75,1.4399601435277471,8,9
100,1.438960187645706,8,9
125,1.4385144027188537,8,9
150,1.4388365804250431,8,9
175,1.439671681641313,8,9
200,1.4397706679208635,8,9
225,1.4392311454992002,8,9
250,1.4394845606347688,8,9
275,1.4398899366875473,8,9
300,1.4399135452800633,8,9
25,1.4462212150819924,8,10
50,1.4401071921258468,8,10
75,1.4366532595118424,8,10
100,1.4382498390849792,8,10
125,1.4391761903327607,8,10
150,1.4388979833883124,8,10
175,1.4394512469651877,8,10
200,1.4395244932715103,8,10
225,1.4394147645091073,8,10
250,1.4400973415341625,8,10
275,1.4393229665724863,8,10
300,1.4401305999355545,8,10
