N,run,C,k
5,1,1.4343288141017378,10
5,2,1.4319381841709058,10
5,3,1.4118189938260195,10
5,4,1.4138811487236598,10
5,5,1.4196191026274763,10
5,6,1.4315680194794418,10
5,7,1.4196019607177277,10
5,8,1.4105298154087993,10
5,9,1.432154077946406,10
5,10,1.4109557296101425,10
10,1,1.4266709028940634,10
10,2,1.4444066790714485,10
10,3,1.4448068235444367,10
10,4,1.421805205911895,10
10,5,1.416796078100133,10
10,6,1.425310891191911,10
10,7,1.4274023626414136,10
10,8,1.437004993376225,10
10,9,1.4357240494524044,10
10,10,1.4312356093078673,10
15,1,1.4347036401364666,10
15,2,1.4311818733551873,10
15,3,1.4353156225656347,10
